"Shares_percent","DAO_count"
"0","126"
"0.0001","1"
"0.0013","1"
"0.0015","1"
"0.0033","1"
"0.0034","1"
"0.0077","1"
"0.01","3"
"0.0333","1"
"0.05","2"
"0.125","1"
"0.25","1"
"0.3333","1"
"0.3985","1"
"0.5","3"
"0.9091","2"
"1","1"
"2.0833","1"
"2.8165","1"
"3.3333","3"
"5","2"
"9.5238","1"
"10","1"
"15","1"
"20","1"
"50","1"
"100","2"
"1000","2"
"10000","1"
"50000","1"
"1639344262295082000","1"
